x,y
0.886280,0.845427
0.977522,0.821274
1.130487,0.786388
1.084866,0.942036
1.235148,0.928618
1.388113,0.885681
1.331757,1.046697
1.245882,1.186244
1.170741,1.065482
1.130487,1.207713
0.985573,1.223814
1.047296,1.086951
0.966788,0.984974
0.926534,1.124521
0.843342,1.006443
0.725264,1.046697
0.765518,0.888364
0.623287,0.931302
0.564248,0.821274
0.481056,0.963505
0.419334,0.861528
0.338826,0.767603
0.282470,0.907150
0.223431,0.802489
0.078517,0.823958
0.024845,0.743450
-0.020777,0.864212
-0.074449,0.778337
-0.136171,0.901782
-0.219363,0.823958
-0.082499,0.982290
-0.235464,1.025228
-0.179109,1.121838
0.000692,1.081584
0.038263,0.947404
0.118771,1.065482
0.239533,1.041330
0.357611,1.001076
0.301255,1.140623
0.478373,1.223814
0.564248,1.084267
0.642072,1.199662
0.786987,1.143306
0.706479,1.304322
0.846026,1.261385
0.768201,1.422401
0.923850,1.384830
1.066081,1.363361
0.848709,1.583417
0.706479,1.599518
0.623287,1.484123
0.478373,1.521694
0.564248,1.344576
0.419334,1.403615
0.360294,1.258701
0.282470,1.441186
0.239533,1.301639
0.180493,1.183560
0.121454,1.320424
0.057048,1.183560
-0.039562,1.315057
-0.098601,1.202345
-0.157640,1.317740
-0.219363,1.218447
-0.294504,1.357994
-0.358910,1.256017
-0.452836,1.417033
-0.514559,1.315057
-0.393797,1.559264
-0.238148,1.476073
-0.200578,1.637088
-0.120070,1.473389
-0.101284,1.615620
-0.004675,1.459971
0.059731,1.602202
0.153657,1.462655
0.204646,1.580733
0.317357,1.559264
2.083074,-0.752362
1.759973,-0.646906
0.161424,0.927774
-0.042695,0.542215
0.096624,0.104816
0.090144,0.007617
0.190584,0.075657
0.284543,0.117776
0.141070,-1.347652
0.061962,-1.259754
0.083936,-1.105932
0.044382,-0.881792
0.136675,-0.938926
0.083936,-0.758735
0.119095,-0.622493
0.018013,-0.582938
1.002471,0.449864
0.139717,1.759085
0.039271,2.011184
0.181077,1.896952
0.155473,2.017093
0.255919,1.733482
0.338639,1.855592
0.338639,2.015123
0.378029,1.698030
0.458779,1.835897
0.519835,1.975733
0.539530,1.660609
0.600585,1.798476
0.663610,1.973763
0.769395,1.785155
-0.084629,1.781588
-0.179555,1.899427
-0.297394,1.915794
-0.195922,1.775042
-0.317034,1.781588
-0.434873,1.817595
-0.336674,1.673569
-0.474152,1.699756
-0.536345,1.601557
-0.624724,1.480444
-0.716377,1.653930
-0.801483,1.555730
-1.046980,1.473898
-1.164819,1.333146
-0.876769,1.437892
-0.942235,1.320053
-0.844036,1.159661
-0.752383,1.254587
-0.696737,1.352786
-0.575625,1.221854
-0.654184,1.140021
-0.493792,1.097468
-0.421779,1.179301
-0.356313,1.061462
-0.281027,1.146568
-0.317034,0.940350
-0.375953,0.861790
-0.454513,0.986176
-0.533072,0.901070
-0.572351,1.022182
-0.654184,0.940350
-0.752383,1.041822
-0.837489,0.963263
-0.899682,1.081102
-0.974968,0.995996
-1.017521,1.198940
-1.086260,1.117108
-1.158273,1.015636
-1.076440,0.917436
-1.115720,0.740678
-1.020794,0.819237
-0.955328,0.704672
-0.853855,0.783231
-0.834216,0.681759
-0.736017,0.743951
-0.677097,0.619566
-0.575625,0.701398
-0.411960,0.662119
-0.258114,0.622839
-0.320307,0.740678
-0.179555,0.701398
-0.061716,0.662119
-0.137002,0.586833
0.923348,-0.253937
0.723994,-0.261604
0.501637,-0.579804
-0.916980,0.897404
-0.753170,0.860175
-0.621625,0.840319
-0.457814,0.775787
-0.356053,0.540000
-0.455332,0.463058
-0.554612,0.403491
-0.614179,0.497806
-0.693602,0.443203
-0.753170,0.557373
-0.857413,0.475468
-0.936836,0.597085
-1.018741,0.517662
-1.055971,0.619423
-1.137876,0.557373
-1.239637,0.659135
-1.239637,0.500288
-1.118020,0.477950
-0.954210,0.438239
-0.795363,0.378671
-0.656373,0.341441
-0.512418,0.296766
-0.413139,0.361297
-0.395765,0.264500
-0.614179,0.242162
-0.773026,0.276910
-0.914498,0.316622
-1.075827,0.358815
-1.239637,0.398527
-1.175106,0.296766
-1.011295,0.254572
-0.874787,0.222307
-0.715940,0.202451
-0.020987,0.142883
-0.020987,0.043604
-0.117784,0.100690
-0.234437,0.043604
-0.331234,0.083316
-0.455332,0.021266
-0.477670,0.120546
-0.574467,0.058496
-0.594323,0.157775
-0.696084,0.100690
-0.842521,0.038640
-0.857413,0.140401
-0.976548,0.080834
-0.996403,0.175149
-1.118020,0.197487
-1.118020,0.123028
-1.095683,0.041122
-1.239637,0.160257
-1.239637,0.080834
-1.217299,-0.001071
-1.219781,-0.082977
-1.239637,-0.179774
-1.120502,-0.219485
-1.095683,-0.140062
-1.078309,-0.045747
-0.956692,-0.102832
-0.959174,-0.179774
-0.835075,-0.063121
-0.817701,-0.140062
-0.696084,-0.184738
-0.696084,-0.100350
-0.698566,0.001411
-0.576949,-0.040783
-0.576949,-0.137580
-0.450369,-0.080495
-0.353571,-0.018445
-0.333716,-0.120206
-0.234437,-0.058157
-0.236919,-0.154954
-0.117784,-0.020927
-0.122748,-0.095386
-0.038360,-0.040783
-0.001131,-0.140062
-0.018505,-0.241823
-0.117784,-0.199629
-0.117784,-0.298909
-0.033396,-0.318764
-0.234437,-0.261679
-0.351089,-0.323728
-0.356053,-0.219485
-0.475188,-0.261679
-0.457814,-0.179774
-0.574467,-0.219485
-0.594323,-0.341102
-0.735796,-0.281535
-0.857413,-0.241823
-0.852449,-0.341102
-0.996403,-0.276571
-1.016259,-0.383296
-1.155250,-0.321246
-1.217299,-0.447827
-1.279349,-0.279053
-1.259493,-0.547106
-1.197444,-0.705953
-1.155250,-0.584336
-1.013777,-0.661277
-0.974066,-0.564480
-0.854931,-0.631493
-0.770544,-0.499949
-0.634035,-0.544624
-0.614179,-0.440381
-0.514900,-0.485057
-0.475188,-0.385778
-0.373427,-0.423007
-0.413139,-0.524768
-0.274148,-0.465201
-0.174869,-0.502431
-0.142603,-0.383296
-0.040842,-0.423007
-0.080554,-0.542142
-0.035878,-0.705953
-0.115302,-0.643903
-0.217063,-0.604192
-0.256774,-0.728291
-0.294004,-0.566962
-0.331234,-0.686097
-0.432995,-0.641421
-0.534756,-0.604192
-0.614179,-0.725809
-0.710976,-0.661277
-0.892160,-0.725809
-0.298948,-1.760485
-0.416147,-1.659639
-0.375264,-1.536989
-0.296222,-1.618756
-0.198102,-1.479753
-0.119061,-1.558794
-0.012765,-1.422516
-0.056374,-1.160863
-0.119061,-1.340749
-0.222632,-1.239904
-0.279869,-1.403437
-0.397068,-1.302592
-0.495188,-1.438869
-0.612387,-1.365279
-0.514267,-1.580598
-0.655996,-1.457948
-0.732311,-1.403437
-0.814078,-1.324396
-0.773195,-1.220825
-0.694154,-1.302592
-0.615112,-1.160863
-0.495188,-1.242629
-0.454305,-1.103626
-0.331655,-1.185393
-0.277144,-1.021859
-0.162670,-1.106352
-0.113610,-0.964623
-0.015490,-1.027311
-0.059099,-0.825619
-0.154494,-0.762932
-0.214456,-0.904661
-0.309850,-0.841973
-0.410696,-0.801089
-0.377989,-0.964623
-0.470658,-0.923739
-0.574229,-0.863777
-0.492462,-0.762932
-0.675075,-1.005506
-0.773195,-0.945544
-0.792274,-1.038213
-0.912198,-0.980976
-0.874040,-1.163588
-0.977611,-1.084547
-1.013043,-0.926465
-1.113889,-0.863777
-1.053927,-0.782011
-0.974886,-0.825619
-0.876766,-0.882856
-0.789548,-0.787462
-0.694154,-0.822894
-1.360433,-0.377987
-1.379737,-0.218725
-1.358020,-0.124615
-1.336302,-0.042571
-1.360433,0.102213
-1.401455,0.177018
-1.295280,0.234932
-1.358020,0.319390
-0.737861,-0.382814
-0.897123,-0.443140
-1.092582,-0.498641
0.174724,0.175507
-0.159523,0.183794
-0.261731,0.142358
-0.377751,0.156170
-0.499296,0.208655
-0.955088,-0.001286
-0.513108,0.578814
-0.236550,-0.364669
-1.342386,0.038772
-0.155318,-1.720489
-0.577703,-1.044038
-0.719027,-1.105967
